2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
S. Tarallo,R. Mello,T. Zib,B. Ulihrach,F. Aldi,M. Gicquel,M. Llodra,S. Warburg,B. Pashanski,E. Roger-Vasselin
K. Kim,N. Coutelot,A. Pretzsch,P. Luczak,D. Kindlmann,B. Vahaly,G. Bastl,P. Srichaphan,D. Hartfield,X. Malisse
O. Gross,D. Tursunov,M. Vassallo Arguello,D. Elsner,D. Norman,J. Morrison,O. Hernandez,B. Phau,Y. Schukin,D. Junqueira
A. Montañes,C. Vinck,V. Kutsenko,R. Sabau,A. Seppi,A. Garcia,M. Russell,A. Qureshi,H. Lee,D. Hrbaty
F. Costa,O. Serrano,J. Brasington,M. Daniel,A. Portas,I. Kunitsyn,P. Luczak,P. Andújar,D. Udomchoke,A. Sidorenko
V. Spadea,P. Goldstein,M. Larsson,J. Golmard,D. Bracciali,R. Karanusic,J. Marin,C. Rochus,D. Koellerer,E. Schwank
A. Dupuis,N. Thomann,I. Kunitsyn,T. Enqvist,M. Kratochvil,G. Carraz,J. Haehnel,Y. Schukin,V. Crivoi,P. Riba
C. Ruud,J. Settergren,F. Volandri,V. Mazarakis,N. Lapentti,F. Aldi,T. Cakl,F. Vicente,M. Kukushkin,D. Young
M. Ondruska,R. Furlan,M. Russell,T. Zib,G. Blanco,M. Van Gemerden,M. Montcourt,S. Galvani,B. Dorsch,M. Matosevic
X. Malisse,E. Taino,M. Radic,A. Parmar,R. Kendrick,M. Fish,J. Morrison,A. Peya,P. Riba,J. Silva
O. Burrieza-Lopez,Y. Schukin,B. Phau,A. Di Mauro,Y. El Aynaoui,J. Gambill,F. Gil,L. Lacko,L. Rosol,F. Cipolla
N. Godwin,M. Verkerk,J. Varlet,H. Levy,V. Voltchkov,M. Berrer,B. Dorsch,B. Ulihrach,M. Puerta,A. Dolgopolov
B. Cowan,K. Kim,P. Luczak,A. Savolt,D. Udomchoke,T. Alves,Y. El Aynaoui,Y. El Aynaoui,A. Bogdanovic,J. Vanek
J. Lisnard,B. Phau,D. Golovanov,S. Roitman,H. Armando,T. Gabashvili,R. Sabau,J. Wang,X. Malisse,M. Kukushkin
D. Petrovic,J. Stoltenberg,R. Ramirez Hidalgo,J. Knowle,S. De Chaunac,A. Sa,I. Labadze,E. Prodon,A. Peya,S. Decoud
C. Caratti,D. Melo,M. Lee,I. Heuberger,S. Wawrinka,E. Massa,A. Dupuis,J. Johansson,L. Dlouhy,R. Mello
F. Jonsson,B. Bryan,L. Zovko,A. Kim,T. Tenconi,E. Roger-Vasselin,R. Karanusic,S. Giraldo,D. Brands,D. Gremelmayr
S. Peppas,J. Brasington,I. Miranda,M. Dell'Acqua,J. Guzman,M. Ryderstedt,T. Behrend,D. Young,R. Smeets,G. Canas
J. Delgado,R. Ramirez Hidalgo,G. Etlis,B. Rehnquist,U. Vico,G. Elseneer,B. Reynolds,S. Greul,S. Warburg,G. Soeda
A. Savolt,R. Agenor,M. Delfino,R. Furlan,I. Minar,J. Guzman,H. Armando,R. Karanusic,R. De Voest,K. Nishikori
V. Santopadre,D. Nestor,J. Vanek,H. Gamonal,D. Gimeno-Traver,M. Mertinak,P. Lorenzi,J. Silva,D. Munoz-De La Nava,K. Im
M. Russell,J. Salzenstein,R. Gasquet,J. Morrison,J. van Lottum,A. Delic,J. Lisnard,M. Granollers,A. Cruciat,B. Reynolds
K. Ullyett,W. Eschauer,K. Vliegen,D. Koellerer,W. Moodie,B. Baker,L. Burgsmuller,B. Echagaray,J. Bjorkman,L. Rosol
P. Kralert,A. Medvedev,R. Soderling,S. Wawrinka,J. Andersen,D. Sela,M. González,A. Garcia,O. Patience,N. Mahut
J. Alonso,V. Spadea,L. Vosloo,M. Llodra,S. Pescosolido,N. Devilder,L. Ouahab,D. Bracciali,M. Bachinger,J. Souza
O. Serrano,F. González,C. Caratti,T. Ketola,M. Mertinak,J. Silva,M. Van Gemerden,B. Dabul,R. Machado,R. Hocevar
G. Coria,G. Galimberti,J. Giner,R. Karanusic,J. Brzezicki,N. Okun,W. Odesnik,I. Minar,P. Luczak,I. Dodig
L. Mor,J. van Lottum,J. Marin,A. Sa,A. Parmar,F. Luzzi,W. Arthurs,D. Vemic,P. Snobel,A. Bogomolov Jr.
L. Horna,M. Larsson,M. López,J. Johansson,B. Baker,S. Sargsian,A. Sa,K. Economidis,D. Meffert,J. Witten
A. Hernandez,M. Ondruska,G. Trifu,N. Coutelot,J. Pequery,P. Luczak,J. Guzman,R. Smeets,J. Huta Galung,G. Zemlja
J. Sekulov,F. Messori,I. Karlovic,Z. Krajan,J. Wang,C. Guccione,D. Junqueira,L. Kubot,B. Rehnquist,M. Lammer
T. Robredo,K. Carlsen,W. Eschauer,C. Mamiit,M. Gicquel,V. Voltchkov,J. Mertl,G. Gaudio,E. Prodon,M. Ilhan
I. Labadze,J. Gimelstob,G. Motomura,O. Patience,I. Kunitsyn,K. Pless,C. Guccione,A. Bogomolov Jr.,A. Mannarino,A. Haider-Maurer
O. Ogorodov,C. Caratti,P. Goldstein,I. Kunitsyn,F. Vicente,S. Tuksar,C. Mamiit,K. Kim,E. Roger-Vasselin,R. De Voest
J. Kroslak,A. Peya,Y. Schukin,J. Marin,C. Berlocq,J. Faurel,U. Vico,R. Delgado,M. Lopez Jaen,D. Meffert
M. Lee,M. Hantschk,S. De Chaunac,S. Navarro,N. Devilder,A. Calatrava,J. Witten,N. Healey,M. Montcourt,D. Marrero
